name,precision,"size[y,x]"
net.blocks.0.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.0.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.0.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.0.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.0.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.0.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.0.cross_attn.k_norm.weight,BF16,[128]
net.blocks.0.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.0.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.0.cross_attn.q_norm.weight,BF16,[128]
net.blocks.0.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.0.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.0.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.0.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.0.self_attn.k_norm.weight,BF16,[128]
net.blocks.0.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.0.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.0.self_attn.q_norm.weight,BF16,[128]
net.blocks.0.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.0.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.1.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.1.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.1.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.1.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.1.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.1.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.1.cross_attn.k_norm.weight,BF16,[128]
net.blocks.1.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.1.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.1.cross_attn.q_norm.weight,BF16,[128]
net.blocks.1.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.1.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.1.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.1.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.1.self_attn.k_norm.weight,BF16,[128]
net.blocks.1.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.1.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.1.self_attn.q_norm.weight,BF16,[128]
net.blocks.1.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.1.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.10.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.10.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.10.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.10.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.10.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.10.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.10.cross_attn.k_norm.weight,BF16,[128]
net.blocks.10.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.10.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.10.cross_attn.q_norm.weight,BF16,[128]
net.blocks.10.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.10.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.10.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.10.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.10.self_attn.k_norm.weight,BF16,[128]
net.blocks.10.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.10.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.10.self_attn.q_norm.weight,BF16,[128]
net.blocks.10.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.10.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.11.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.11.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.11.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.11.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.11.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.11.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.11.cross_attn.k_norm.weight,BF16,[128]
net.blocks.11.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.11.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.11.cross_attn.q_norm.weight,BF16,[128]
net.blocks.11.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.11.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.11.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.11.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.11.self_attn.k_norm.weight,BF16,[128]
net.blocks.11.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.11.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.11.self_attn.q_norm.weight,BF16,[128]
net.blocks.11.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.11.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.12.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.12.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.12.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.12.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.12.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.12.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.12.cross_attn.k_norm.weight,BF16,[128]
net.blocks.12.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.12.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.12.cross_attn.q_norm.weight,BF16,[128]
net.blocks.12.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.12.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.12.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.12.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.12.self_attn.k_norm.weight,BF16,[128]
net.blocks.12.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.12.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.12.self_attn.q_norm.weight,BF16,[128]
net.blocks.12.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.12.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.13.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.13.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.13.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.13.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.13.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.13.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.13.cross_attn.k_norm.weight,BF16,[128]
net.blocks.13.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.13.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.13.cross_attn.q_norm.weight,BF16,[128]
net.blocks.13.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.13.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.13.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.13.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.13.self_attn.k_norm.weight,BF16,[128]
net.blocks.13.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.13.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.13.self_attn.q_norm.weight,BF16,[128]
net.blocks.13.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.13.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.14.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.14.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.14.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.14.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.14.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.14.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.14.cross_attn.k_norm.weight,BF16,[128]
net.blocks.14.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.14.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.14.cross_attn.q_norm.weight,BF16,[128]
net.blocks.14.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.14.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.14.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.14.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.14.self_attn.k_norm.weight,BF16,[128]
net.blocks.14.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.14.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.14.self_attn.q_norm.weight,BF16,[128]
net.blocks.14.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.14.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.15.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.15.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.15.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.15.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.15.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.15.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.15.cross_attn.k_norm.weight,BF16,[128]
net.blocks.15.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.15.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.15.cross_attn.q_norm.weight,BF16,[128]
net.blocks.15.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.15.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.15.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.15.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.15.self_attn.k_norm.weight,BF16,[128]
net.blocks.15.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.15.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.15.self_attn.q_norm.weight,BF16,[128]
net.blocks.15.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.15.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.16.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.16.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.16.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.16.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.16.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.16.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.16.cross_attn.k_norm.weight,BF16,[128]
net.blocks.16.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.16.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.16.cross_attn.q_norm.weight,BF16,[128]
net.blocks.16.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.16.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.16.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.16.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.16.self_attn.k_norm.weight,BF16,[128]
net.blocks.16.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.16.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.16.self_attn.q_norm.weight,BF16,[128]
net.blocks.16.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.16.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.17.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.17.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.17.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.17.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.17.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
