name,precision,"size[y,x]"
context_embedder.weight,BF16,"[3072, 7680]"
double_stream_modulation_img.linear.weight,BF16,"[18432, 3072]"
double_stream_modulation_txt.linear.weight,BF16,"[18432, 3072]"
norm_out.linear.weight,BF16,"[6144, 3072]"
proj_out.weight,BF16,"[128, 3072]"
single_stream_modulation.linear.weight,BF16,"[9216, 3072]"
single_transformer_blocks.0.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.0.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.0.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.0.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.1.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.1.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.1.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.1.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.10.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.10.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.10.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.10.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.11.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.11.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.11.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.11.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.12.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.12.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.12.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.12.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.13.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.13.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.13.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.13.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.14.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.14.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.14.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.14.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.15.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.15.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.15.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.15.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.16.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.16.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.16.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.16.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.17.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.17.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.17.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.17.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.18.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.18.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.18.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.18.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.19.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.19.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.19.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.19.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.2.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.2.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.2.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.2.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.3.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.3.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.3.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.3.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.4.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.4.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.4.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.4.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.5.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.5.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.5.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.5.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.6.attn.norm_k.weight,BF16,[128]
single_transformer_blocks.6.attn.norm_q.weight,BF16,[128]
single_transformer_blocks.6.attn.to_out.weight,BF16,"[3072, 12288]"
single_transformer_blocks.6.attn.to_qkv_mlp_proj.weight,BF16,"[27648, 3072]"
single_transformer_blocks.7.attn.norm_k.weight,BF16,[128]
