name,precision,"size[y,x]"
img_in.bias,F32,[6144]
img_in.weight,F32,"[6144, 64]"
text_fusion.layerwise_blocks.0.attn.norm_k.weight,F32,[128]
text_fusion.layerwise_blocks.0.attn.norm_q.weight,F32,[128]
text_fusion.layerwise_blocks.0.attn.to_gate.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.0.attn.to_k.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.0.attn.to_out.0.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.0.attn.to_q.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.0.attn.to_v.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.0.ff.down.weight,BF16,"[2560, 6912]"
text_fusion.layerwise_blocks.0.ff.gate.weight,BF16,"[6912, 2560]"
text_fusion.layerwise_blocks.0.ff.up.weight,BF16,"[6912, 2560]"
text_fusion.layerwise_blocks.0.norm1.weight,F32,[2560]
text_fusion.layerwise_blocks.0.norm2.weight,F32,[2560]
text_fusion.layerwise_blocks.1.attn.norm_k.weight,F32,[128]
text_fusion.layerwise_blocks.1.attn.norm_q.weight,F32,[128]
text_fusion.layerwise_blocks.1.attn.to_gate.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.1.attn.to_k.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.1.attn.to_out.0.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.1.attn.to_q.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.1.attn.to_v.weight,BF16,"[2560, 2560]"
text_fusion.layerwise_blocks.1.ff.down.weight,BF16,"[2560, 6912]"
text_fusion.layerwise_blocks.1.ff.gate.weight,BF16,"[6912, 2560]"
text_fusion.layerwise_blocks.1.ff.up.weight,BF16,"[6912, 2560]"
text_fusion.layerwise_blocks.1.norm1.weight,F32,[2560]
text_fusion.layerwise_blocks.1.norm2.weight,F32,[2560]
text_fusion.projector.weight,F32,"[1, 12]"
text_fusion.refiner_blocks.0.attn.norm_k.weight,F32,[128]
text_fusion.refiner_blocks.0.attn.norm_q.weight,F32,[128]
text_fusion.refiner_blocks.0.attn.to_gate.weight,BF16,"[2560, 2560]"
text_fusion.refiner_blocks.0.attn.to_k.weight,BF16,"[2560, 2560]"
text_fusion.refiner_blocks.0.attn.to_out.0.weight,BF16,"[2560, 2560]"
text_fusion.refiner_blocks.0.attn.to_q.weight,BF16,"[2560, 2560]"
text_fusion.refiner_blocks.0.attn.to_v.weight,BF16,"[2560, 2560]"
text_fusion.refiner_blocks.0.ff.down.weight,BF16,"[2560, 6912]"
text_fusion.refiner_blocks.0.ff.gate.weight,BF16,"[6912, 2560]"
